"mb_code","mb_cat","suburb_code","suburb_name","lga_name","postcode","dwelling"
"20395280000",Residential,"22304",Southbank,Melbourne (C),"3006",579
"20395321000",Residential,"22304",Southbank,Melbourne (C),"3006",313
"20395350000",Residential,"22304",Southbank,Melbourne (C),"3006",162
"20395362000",Commercial,"22304",Southbank,Melbourne (C),"3006",0
"20395374000",Commercial,"20760",Docklands,Melbourne (C),"3008",9
"20395451000",Commercial,"20760",Docklands,Melbourne (C),"3008",0
"20395452000",Residential,"20760",Docklands,Melbourne (C),"3008",820
"20395600000",Residential,"22303",South Yarra,Melbourne (C),"3141",37
"20395753000",Commercial,"20492",Carlton (Vic.),Melbourne (C),"3053",6
"20395770000",Residential,"20492",Carlton (Vic.),Melbourne (C),"3053",180
"20395880000",Commercial,"20492",Carlton (Vic.),Melbourne (C),"3053",77
"20395892000",Commercial,"21629",Melbourne,Melbourne (C),"3000",10
"20396120000",Residential,"21954",North Melbourne,Melbourne (C),"3051",30
"20396180000",Residential,"21319",Kensington (Vic.),Melbourne (C),"3031",35
"20396340000",Commercial,"21954",North Melbourne,Melbourne (C),"3051",40
"20396400000",Hospital/Medical,"20824",East Melbourne,Melbourne (C),"3002",81
"20396410000",Residential,"22303",South Yarra,Melbourne (C),"3141",37
"20396470000",Residential,"22303",South Yarra,Melbourne (C),"3141",35
"20396500000",Residential,"20824",East Melbourne,Melbourne (C),"3002",26
"20396590000",Residential,"20824",East Melbourne,Melbourne (C),"3002",39
"20396640000",Education,"20492",Carlton (Vic.),Melbourne (C),"3053",0
"20396710000",Commercial,"20492",Carlton (Vic.),Melbourne (C),"3053",12
"20396720000",Residential,"20492",Carlton (Vic.),Melbourne (C),"3053",29
"20396830000",Commercial,"20492",Carlton (Vic.),Melbourne (C),"3053",70
"20396990000",Residential,"22026",Parkville (Vic.),Melbourne (C),"3052",26
"20397080000",Residential,"21319",Kensington (Vic.),Melbourne (C),"3031",40
"20397111000",Residential,"21319",Kensington (Vic.),Melbourne (C),"3031",145
"20397312000",Residential,"20824",East Melbourne,Melbourne (C),"3002",18
"20397370000",Residential,"20824",East Melbourne,Melbourne (C),"3002",45
"20397410000",Residential,"22303",South Yarra,Melbourne (C),"3141",23
"20397640000",Residential,"22026",Parkville (Vic.),Melbourne (C),"3052",28
"20397680000",Residential,"21954",North Melbourne,Melbourne (C),"3051",26
"20397830000",Commercial,"21954",North Melbourne,Melbourne (C),"3051",53
"20449322000",Industrial,"21319",Kensington (Vic.),Melbourne (C),"3031",0
"20449333000",Commercial,"21319",Kensington (Vic.),Melbourne (C),"3031",5
"20449860000",Residential,"21319",Kensington (Vic.),Melbourne (C),"3031",82
"20450750000",Parkland,"21319",Kensington (Vic.),Melbourne (C),"3031",0
"20631898550",Residential,"21954",North Melbourne,Melbourne (C),"3051",47
"20631898590",Residential,"21629",Melbourne,Melbourne (C),"3000",223
"20631898760",Commercial,"21629",Melbourne,Melbourne (C),"3000",11
"20631916370",Transport,"22304",Southbank,Melbourne (C),"3006",0
"20631932020",Residential,"20492",Carlton (Vic.),Melbourne (C),"3053",223
"20631939330",Commercial,"21629",Melbourne,Melbourne (C),"3000",54
"20631940770",Commercial,"20760",Docklands,Melbourne (C),"3008",0
"20631941360",Residential,"20492",Carlton (Vic.),Melbourne (C),"3053",115
"20631941750",Residential,"22304",Southbank,Melbourne (C),"3006",259
"20631952990",Residential,"20492",Carlton (Vic.),Melbourne (C),"3053",374
"20631953170",Commercial,"20760",Docklands,Melbourne (C),"3008",0
"20631993590",Residential,"20492",Carlton (Vic.),Melbourne (C),"3053",25
"20631993780",Parkland,"22026",Parkville (Vic.),Melbourne (C),"3052",0
"20632000520",Residential,"20492",Carlton (Vic.),Melbourne (C),"3053",117
"20664200000",Commercial,"21629",Melbourne,Melbourne (C),"3000",13
"20664210000",Commercial,"21629",Melbourne,Melbourne (C),"3000",4
"20664320000",Commercial,"21629",Melbourne,Melbourne (C),"3000",0
"20664520000",Commercial,"21629",Melbourne,Melbourne (C),"3000",0
"20664541000",Commercial,"21629",Melbourne,Melbourne (C),"3000",51
"20664680000",Commercial,"21629",Melbourne,Melbourne (C),"3000",16
"20664690000",Commercial,"21629",Melbourne,Melbourne (C),"3000",8
"20664712000",Residential,"21629",Melbourne,Melbourne (C),"3000",255
"20664720000",Commercial,"21629",Melbourne,Melbourne (C),"3000",0
"20664780000",Commercial,"21629",Melbourne,Melbourne (C),"3000",446
"20664881000",Commercial,"21629",Melbourne,Melbourne (C),"3000",46
"20392960000",Residential,"21629",Melbourne,Melbourne (C),"3000",117
"20393090000",Commercial,"21629",Melbourne,Melbourne (C),"3000",5
"20393290000",Commercial,"21629",Melbourne,Melbourne (C),"3000",71
"20393350000",Commercial,"21629",Melbourne,Melbourne (C),"3000",0
"20393670000",Residential,"21629",Melbourne,Melbourne (C),"3000",104
"20393724000",Commercial,"21629",Melbourne,Melbourne (C),"3000",0
"20393800000",Residential,"21629",Melbourne,Melbourne (C),"3000",209
"20393960000",Residential,"21629",Melbourne,Melbourne (C),"3000",148
"20394010000",Commercial,"21629",Melbourne,Melbourne (C),"3000",84
"20394080000",Residential,"21629",Melbourne,Melbourne (C),"3000",88
"20394190000",Commercial,"21629",Melbourne,Melbourne (C),"3000",4
