airport_id,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,iata_code
4983,medium_airport,Anaa Airport,-17.3526,-145.509995,10,OC,PF,PF-U-A,Anaa,AAA
27342,small_airport,Arrabury Airport,-26.69639,141.048718,334,OC,AU,AU-QLD,Tanbar,AAB
3176,medium_airport,El Arish International Airport,31.078565,33.836791,118,AS,EG,EG-SIN,El Arish,AAC
324756,small_airport,Adado Airport,6.095802,46.6375,1001,AF,SO,SO-GA,Adado,AAD
2060,medium_airport,Annaba Rabah Bitat Airport,36.826781,7.81334,16,AF,DZ,DZ-23,Annaba,AAE
19224,small_airport,Apalachicola Regional Airport,29.72750092,-85.02749634,20,NA,US,US-FL,Apalachicola,AAF
513,small_airport,Avelino Vieira Airport,-24.103901,-49.789101,2641,SA,BR,BR-PR,Arapoti,AAG
28490,small_airport,Aachen-Merzbrück Airport,50.823055,6.186389,623,EU,DE,DE-NW,Aachen,AAH
38046,small_airport,Arraias Airport,-13.025154,-46.884107,1923,SA,BR,BR-TO,Arraias,AAI
30606,small_airport,Cayana Airstrip,3.898681,-55.577907,360,SA,SR,SR-SI,Awaradam,AAJ
30607,small_airport,Aranuka Airport,0.185278,173.636993,6,OC,KI,KI-G,Buariki,AAK
2562,medium_airport,Aalborg Airport,57.092759,9.849243,10,EU,DK,DK-81,Aalborg,AAL
2808,medium_airport,Malamala Airport,-24.81809998,31.54459953,1124,AF,ZA,ZA-NP,Malamala,AAM
5230,medium_airport,Al Ain International Airport,24.26169968,55.60919952,869,AS,AE,AE-AZ,Al Ain,AAN
6251,medium_airport,Anaco Airport,9.430225,-64.470726,721,SA,VE,VE-B,Anaco,AAO
26763,medium_airport,Aji Pangeran Tumenggung Pranoto International Airport,-0.374478,117.250128,82,AS,ID,ID-KI,Samarinda,AAP
6511,medium_airport,Anapa Vityazevo Airport,45.002102,37.347301,174,EU,RU,RU-KDA,Krasnyi Kurgan,AAQ
2540,medium_airport,Aarhus Airport,56.303331,10.618286,82,EU,DK,DK-82,Aarhus,AAR
41361,small_airport,Apalapsili Airport,-3.882495,139.310932,3100,AS,ID,ID-PP,Apalapsili,AAS
44191,medium_airport,Altay Xuedu Airport,47.749886,88.085808,2460,AS,CN,CN-65,Altay,AAT
30608,small_airport,Asau Airport,-13.505132,-172.627888,,OC,WS,WS-VS,Asau,AAU
5694,medium_airport,Allah Valley Airport,6.367903,124.752431,659,AS,PH,PH-SCO,Surallah,AAV
5866,small_airport,Romeu Zema Airport,-19.5632,-46.9604,3276,SA,BR,BR-MG,Araxá,AAX
5315,medium_airport,Al Ghaydah International Airport,16.193341,52.174186,134,AS,YE,YE-MR,Al Ghaydah,AAY
30610,small_airport,Quezaltenango Airport,14.8656,-91.501999,7779,NA,GT,GT-QZ,Quezaltenango,AAZ
6503,medium_airport,Abakan International Airport,53.740002,91.385002,831,EU,RU,RU-KK,Abakan,ABA
300781,medium_airport,Asaba International Airport,6.204167,6.665278,305,AF,NG,NG-DE,Asaba,ABB
3996,medium_airport,Albacete Airport / Los Llanos Air Base,38.948502,-1.86352,2302,EU,ES,ES-CM,Albacete,ABC
5130,medium_airport,Abadan Airport,30.367887,48.230075,10,AS,IR,IR-06,Abadan,ABD
3356,medium_airport,Lehigh Valley International Airport,40.651773,-75.442797,393,NA,US,US-PA,Allentown,ABE
30611,small_airport,Abaiang Airport,1.79861,173.041,26,OC,KI,KI-G,Abaiang,ABF
27311,small_airport,Abingdon Downs Airport,-17.608814,143.183531,573,OC,AU,AU-QLD,,ABG
3357,medium_airport,Abilene Regional Airport,32.41130066,-99.68190002,1791,NA,US,US-TX,Abilene,ABI
2096,medium_airport,Félix-Houphouët-Boigny International Airport,5.26139,-3.92629,21,AF,CI,CI-AB,Abidjan,ABJ
30612,medium_airport,Kebri Dahar Airport,6.732577,44.241339,1800,AF,ET,ET-SO,Kebri Dahar,ABK
5363,medium_airport,Ambler Airport,67.107043,-157.854308,334,NA,US,US-AK,Ambler,ABL
26898,small_airport,Northern Peninsula Airport,-10.946194,142.455081,34,OC,AU,AU-QLD,Bamaga,ABM
41505,small_airport,Albina Airport,5.51272,-54.050098,19,SA,SR,SR-MA,Albina,ABN
323785,small_airport,Aboisso Airport,5.461944,-3.234722,95,AF,CI,CI-CM,Aboisso,ABO
301645,small_airport,Atkamba Airport,-6.06462,141.095173,150,OC,PG,PG-WPD,Atkamba Mission,ABP
16091,medium_airport,Albuquerque International Sunport,35.040199,-106.609001,5355,NA,US,US-NM,Albuquerque,ABQ
3358,medium_airport,Aberdeen Regional Airport,45.44910049,-98.42179871,1302,NA,US,US-SD,Aberdeen,ABR
3181,medium_airport,Abu Simbel Airport,22.367657,31.609962,614,AF,EG,EG-ASN,Abu Simbel,ABS
5084,medium_airport,King Saud Bin Abdulaziz (Al Baha) Airport,20.298506,41.636153,5486,AS,SA,SA-11,Al Aqiq,ABT
41475,small_airport,AA Bere Tallo (Haliwen) Airport,-9.074841,124.903285,1027,AS,ID,ID-NT,Atambua,ABU
2104,large_airport,Nnamdi Azikiwe International Airport,9.006790161,7.263169765,1123,AF,NG,NG-FC,Abuja,ABV
27044,medium_airport,Albury Airport,-36.066758,146.959148,539,OC,AU,AU-NSW,Albury,ABX
3359,medium_airport,Southwest Georgia Regional Airport,31.532946,-84.196215,197,NA,US,US-GA,Albany,ABY
2459,medium_airport,Aberdeen Dyce Airport,57.2019,-2.19778,215,EU,GB,GB-SCT,Aberdeen,ABZ
4688,large_airport,Aeropuerto Internacional Juan N. Álvarez,16.762118,-99.755473,16,NA,MX,MX-GRO,Ciudad de Acapulco,ACA
19228,small_airport,Antrim County Airport,44.988602,-85.198402,623,NA,US,US-MI,Bellaire,ACB
2090,large_airport,Kotoka International Airport,5.6051898,-0.166786,205,AF,GH,GH-AA,Accra,ACC
30613,small_airport,Alcides Fernández Airport,8.497847,-77.274106,50,SA,CO,CO-CHO,Acandí,ACD
3082,large_airport,César Manrique-Lanzarote Airport,28.945499,-13.6052,46,AF,ES,ES-CN,San Bartolomé,ACE
354654,small_airport,Aral Tarim Airport,40.464167,81.246944,,AS,CN,CN-65,Aral,ACF
4506,medium_airport,St Gallen Altenrhein Airport,47.485001,9.56077,1306,EU,CH,CH-SG,Altenrhein,ACH
2424,medium_airport,Alderney Airport,49.706104,-2.21472,290,EU,GG,GG-U-A,Saint Anne,ACI
26464,medium_airport,Anuradhapura Airport,8.301542,80.42848,324,AS,LK,LK-7,Anuradhapura,ACJ
3360,medium_airport,Nantucket Memorial Airport,41.25310135,-70.06020355,47,NA,US,US-MA,Nantucket,ACK
41025,small_airport,Arica Airport,-2.144851,-71.758389,316,NA,CO,CO-AMA,Arica,ACM
43060,small_airport,Ciudad Acuña New International Airport,29.333662,-101.100555,1410,NA,MX,MX-COA,Ciudad Acuña,ACN
5201,small_airport,Sahand Airport,37.34799957,46.12789917,4396,AS,IR,IR-03,Maragheh,ACP
30615,small_airport,Araracuara Airport,-0.600854,-72.398011,1250,NA,CO,CO-CAQ,Araracuara,ACR
30616,medium_airport,Achinsk Airport,56.269185,90.57511,1033,EU,RU,RU-KYA,Achinsk,ACS
3361,medium_airport,Waco Regional Airport,31.61129951,-97.23049927,516,NA,US,US-TX,Waco,ACT
42182,small_airport,Achutupu Airport,9.188481,-77.994153,10,NA,PA,PS-GY,Mamitupu,ACU
