origin,destination
AAE,ALG
AAE,CDG
AAE,IST
AAE,LYS
AAE,MRS
AAE,ORN
AAE,ORY
AAL,AAR
AAL,AGP
AAL,ALC
AAL,AMS
AAL,ARN
AAL,BCN
AAL,BLL
AAL,CPH
AAL,IST
AAL,LGW
AAL,OSL
AAL,PMI
AAL,SVG
AAN,CCJ
AAN,PEW
AAQ,DME
AAQ,LED
AAQ,SVO
AAR,AAL
AAR,AGP
AAR,BMA
AAR,CPH
AAR,GOT
AAR,OSL
AAR,PMI
AAR,STN
AAT,URC
AAX,POJ
AAY,SAH
ABA,DME
ABA,IKT
ABA,NSK
ABA,SVO
ABB,ABV
ABB,LOS
ABD,MHD
ABD,SYZ
ABD,THR
ABE,ATL
ABE,CLT
ABE,DTW
ABE,MYR
ABE,ORD
ABE,PGD
ABE,PHL
ABE,PIE
ABE,SFB
ABI,DFW
ABJ,ACC
ABJ,ALG
ABJ,BKO
ABJ,BOY
ABJ,BRU
ABJ,CDG
ABJ,CKY
ABJ,CMN
ABJ,COO
ABJ,DKR
ABJ,DLA
ABJ,FNA
ABJ,IST
ABJ,LBV
ABJ,LFW
ABJ,LOS
ABJ,NBO
ABJ,ORY
ABJ,OUA
ABJ,ROB
ABJ,TUN
ABL,OTZ
ABL,SHG
ABM,CNS
ABQ,ATL
ABQ,BWI
ABQ,CNM
ABQ,DAL
ABQ,DEN
ABQ,DFW
ABQ,HOU
ABQ,IAH
ABQ,JFK
ABQ,LAM
ABQ,LAS
ABQ,LAX
ABQ,MCI
ABQ,MDW
ABQ,MSP
ABQ,OAK
ABQ,ORD
ABQ,PDX
ABQ,PHX
ABQ,SAN
ABQ,SEA
ABQ,SFO
ABQ,SLC
ABR,MSP
ABS,ASW
ABT,DMM
ABT,JED
ABT,RUH
ABV,ABB
ABV,ACC
ABV,ADD
ABV,BNI
ABV,CAI
ABV,CBQ
ABV,CDG
ABV,COO
ABV,ENU
ABV,FRA
ABV,GMO
ABV,IBA
ABV,ILR
ABV,KAN
ABV,LFW
ABV,LHR
ABV,LOS
ABV,NDJ
ABV,NIM
ABV,PHC
ABV,QOW
ABV,QRW
ABV,SKO
ABV,SSG
ABV,YOL
ABX,MEL
ABX,SYD
ABY,ATL
ABZ,AMS
ABZ,BGO
ABZ,BHD
ABZ,BHX
ABZ,BRS
ABZ,CDG
ABZ,CPH
ABZ,DUB
ABZ,EBJ
ABZ,EMA
ABZ,FRA
ABZ,HUY
ABZ,KOI
ABZ,KSU
ABZ,LBA
ABZ,LCY
ABZ,LGW
ABZ,LHR
ABZ,LSI
ABZ,LTN
ABZ,MAN
ABZ,MME
ABZ,NCL
ABZ,NWI
ABZ,OSL
ABZ,RIX
ABZ,SVG
ABZ,SYY
ABZ,WIC
ACA,IAH
ACA,MEX
ACA,MTY
ACA,TIJ
ACA,TLC
ACC,ABJ
ACC,ABV
ACC,ADD
ACC,AMS
ACC,BEY
ACC,CAI
ACC,CMN
ACC,COO
ACC,DKR
ACC,DXB
ACC,FCO
ACC,FNA
ACC,FRA
ACC,IST
ACC,JFK
ACC,JNB
ACC,KMS
ACC,LFW
ACC,LHR
ACC,LIS
ACC,LOS
ACC,MAD
ACC,MLW
ACC,NBO
ACC,NYI
ACC,OUA
ACC,ROB
ACC,TKD
ACC,TML
ACC,WDH
ACE,AMS
ACE,BCN
ACE,BFS
ACE,BGY
ACE,BHX
ACE,BIO
ACE,BLK
ACE,BLQ
ACE,BOH
ACE,BRE
ACE,BRS
ACE,BVA
ACE,CGN
ACE,CRL
ACE,DUB
ACE,DUS
ACE,EDI
ACE,EIN
ACE,EMA
ACE,FKB
ACE,FRA
ACE,FUE
ACE,GLA
ACE,HAJ
ACE,HAM
ACE,HHN
ACE,LBA
ACE,LEJ
ACE,LGW
ACE,LPA
ACE,LPL
ACE,LTN
ACE,LUX
ACE,MAD
ACE,MAN
ACE,MUC
ACE,NCL
ACE,NOC
ACE,NRN
ACE,ORK
ACE,OVD
ACE,PAD
ACE,PIK
ACE,SCQ
ACE,SDR
ACE,SNN
ACE,STN
ACE,STR
ACE,SVQ
ACE,SXF
ACE,TFN
ACE,TXL
ACE,ZAZ
ACE,ZRH
ACH,EBA
ACH,VIE
ACI,GCI
ACI,SOU
ACK,BOS
ACK,EWB
ACK,HPN
ACK,HYA
ACK,MVY
ACK,TEB
ACR,SVI
ACT,DFW
ACV,CEC
ACV,SFO
ACV,SMF
ACX,CAN
ACX,CKG
ACX,KWE
ACX,NAY
ACX,PVG
ACY,BOS
ACY,DTW
ACY,FLL
ACY,IAH
ACY,MCO
ACY,MYR
ACY,ORD
ACY,RSW
ACY,TPA
ACZ,MHD
ADA,ADB
ADA,AYT
ADA,EBL
ADA,ECN
ADA,ESB
ADA,IST
ADA,JED
ADA,SAW
ADA,TZX
ADA,VAN
ADB,ADA
ADB,AMS
ADB,ARN
ADB,ASR
ADB,ATH
ADB,AYT
ADB,BHX
ADB,BRE
ADB,BRU
ADB,BSL
ADB,CDG
ADB,CGN
ADB,CPH
ADB,DIY
ADB,DTM
ADB,DUB
ADB,DUS
ADB,ECN
ADB,ESB
ADB,EZS
ADB,FRA
ADB,GNY
ADB,GZT
ADB,HAJ
ADB,HAM
ADB,HEL
ADB,HTY
ADB,IST
ADB,LGW
ADB,LUX
ADB,LYS
ADB,MAN
ADB,MQM
ADB,MUC
ADB,NTE
ADB,SAW
ADB,STN
ADB,STR
ADB,SXB
ADB,TXL
ADB,TZX
ADB,VAS
ADB,VIE
