runway_id,airport_id,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,he_ident,he_latitude_deg,he_longitude_deg
320767,307365,EGAH,3280,164,Snow,0,0,8,-75.59719849,-26.27879906,26,-75.59539795,-26.24300003
345865,345862,AQ-0011,9842,197,Blue Ice,0,0,N,-71.52619934,8.798999786,S,-71.5530014,8.805809975
348026,348022,YCSK,6556,279,Snow/Ice,0,0,9,-66.28796387,110.73806,27,-66.28787994,110.7827759
233599,5830,SAWB,4134,115,GRE,0,0,6,-64.24009705,-56.64319992,24,-64.2365036,-56.61849976
233598,6039,SCRM,4238,125,GRE,1,0,11,-62.18780136,-58.99720001,29,-62.19390106,-58.97610092
261500,37158,SNLK,2952,66,GVL,0,0,5,-61.023919,,23,-9.695099,-61.021437
235225,6023,SCGZ,4724,95,ASP,1,0,8,-54.93099976,-67.63749695,26,-54.93119812,-67.61499786
232913,5835,SAWH,9186,148,CON,1,0,7,-54.84420013,-68.31749725,25,-54.8423996,-68.27400208
233041,5837,SAWO,5299,161,ASP,0,0,16,-54.81539917,-68.30449677,34,-54.83000183,-68.30400085
232952,5833,SAWE,6562,131,ASP,1,0,7,-53.77809906,-67.76450348,25,-53.77730179,-67.73429871
235235,6013,SCDW,3937,98,ASP,0,0,4,-53.61610031,-70.48210144,22,-53.60979843,-70.46859741
235236,6013,SCDW,4905,92,ASP,0,0,12,-53.60189819,-70.48400116,30,-53.61190033,-70.46869659
235216,6019,SCFM,2614,98,GVL,0,0,3,-53.25109863,-70.33309937,21,-53.24520111,-70.3227005
235217,6019,SCFM,8202,98,ASP,1,0,9,-53.24980164,-70.3368988,27,-53.25759888,-70.30149841
235241,6009,SCCI,5504,148,ASP,1,0,1,-53.00799942,-70.85500336,19,-52.99480057,-70.84300232
235242,6009,SCCI,9154,148,ASP,1,0,7,-53.00120163,-70.87529755,25,-53.00059891,-70.83380127
235243,6009,SCCI,7875,148,ASP,1,0,12,-52.99750137,-70.86869812,30,-53.01380157,-70.84519958
235782,2512,EGYP,5003,75,ASP,1,0,5,-51.82440186,-58.4510994,23,-51.8166008,-58.43299866
235783,2512,EGYP,8497,150,ASP,1,0,10,-51.81769943,-58.47629929,28,-51.82389832,-58.43999863
235780,6087,SFAL,3013,63,ASP,0,0,9,-51.68600082,-57.78039932,27,-51.68590164,-57.76710129
235781,6087,SFAL,1110,42,ASP,0,0,18,-51.68399811,-57.78160095,36,-51.68709946,-57.78160095
235259,6031,SCNT,5786,98,ASP,1,0,10,-51.66759872,-72.53939819,28,-51.67539978,-72.51730347
232969,5834,SAWG,11644,148,CON,1,0,7,-51.61009979,-69.33820343,25,-51.60760117,-69.28710175
232921,5831,SAWC,8366,148,CON,1,0,7,-50.28139877,-72.07089996,25,-50.27920151,-72.03530121
233021,5839,SAWU,6562,98,ASP,0,1,7Z,-50.0233,-68.584702,25Z,-50.007599,-68.560204
